alpha,filename,param_1,param_2,param_3,param_4
0.0,interp_alpha_00_0.00.wav,0.4355620741844177,0.42907965183258057,0.37584853172302246,0.29030969738960266
0.125,interp_alpha_01_0.12.wav,0.46830475330352783,0.453540563583374,0.43414074182510376,0.34106147289276123
0.25,interp_alpha_02_0.25.wav,0.5010752081871033,0.47401031851768494,0.4873986542224884,0.3856937885284424
0.375,interp_alpha_03_0.38.wav,0.5348826050758362,0.490972101688385,0.5355532169342041,0.4237285852432251
0.5,interp_alpha_04_0.50.wav,0.5710515975952148,0.5053220391273499,0.5792763829231262,0.45536327362060547
0.625,interp_alpha_05_0.62.wav,0.6111303567886353,0.5183780193328857,0.6202623844146729,0.4816920757293701
0.75,interp_alpha_06_0.75.wav,0.6565595269203186,0.5316869020462036,0.6612866520881653,0.5047998428344727
0.875,interp_alpha_07_0.88.wav,0.7079811692237854,0.5465285778045654,0.7056366801261902,0.5275362133979797
1.0,interp_alpha_08_1.00.wav,0.7639430165290833,0.5630195736885071,0.7551625967025757,0.5526381731033325
