Experiment,Params,RMSE mean,RMSE p0,RMSE p1,RMSE p2,RMSE p3
fixed,13872,2.5437873321571163e-08,0.0,5.960464477539063e-08,0.0,4.2146848510894035e-08
learned,13896,0.01673493035574276,0.010390706686051956,0.012883555372909486,0.026544724899999927,0.01712073446400967
