alpha,param_param_1,param_param_2,param_param_3,param_param_4
-0.25,0.48179560899734497,0.4888885021209717,0.3553418219089508,0.24747397005558014
-0.17499999701976776,0.5118616223335266,0.5200057625770569,0.41554123163223267,0.30069801211357117
-0.09999999403953552,0.5389260053634644,0.5471068620681763,0.4712025225162506,0.35061216354370117
-0.024999991059303284,0.5635949373245239,0.5706138014793396,0.5224710702896118,0.3969751298427582
0.050000011920928955,0.5861614942550659,0.5905810594558716,0.5692015886306763,0.4393029808998108
0.1250000149011612,0.6067782640457153,0.606899619102478,0.6111181378364563,0.47703394293785095
0.20000001788139343,0.6255652904510498,0.6194339990615845,0.6479251384735107,0.5096365809440613
0.27500003576278687,0.6426765322685242,0.6281112432479858,0.6793885827064514,0.5366842150688171
0.3500000238418579,0.6583355665206909,0.6329750418663025,0.7053954005241394,0.5579075217247009
0.42500001192092896,0.6728457808494568,0.6342134475708008,0.7260019779205322,0.5732372999191284
0.4999999701976776,0.6865761876106262,0.6321631073951721,0.7414665818214417,0.5828372240066528
0.574999988079071,0.6999176144599915,0.6272892951965332,0.7522683143615723,0.5871290564537048
0.6499999761581421,0.7132031321525574,0.6201305389404297,0.7590909600257874,0.5868003368377686
0.7249999642372131,0.7265813946723938,0.6112022995948792,0.7627508044242859,0.5827817916870117
0.7999999523162842,0.7398251891136169,0.6008360981941223,0.7640191912651062,0.5761652588844299
0.875,0.7520456314086914,0.5889474749565125,0.7632774710655212,0.5680233836174011
0.949999988079071,0.7612514495849609,0.5747156143188477,0.759931206703186,0.5590765476226807
1.024999976158142,0.7636443376541138,0.5561825633049011,0.7515576481819153,0.5491519570350647
1.100000023841858,0.752482533454895,0.5297869443893433,0.7329195737838745,0.5363962054252625
1.1749999523162842,0.7163456678390503,0.48986291885375977,0.6952852606773376,0.5162557363510132
1.25,0.636833667755127,0.42815759778022766,0.6268524527549744,0.480366587638855
